Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D19,2			d3,11																									R	r																		
			D3,10																																												
D5,3	T10,21		d4,10																										R	r																	
			D4,10																																												
D5,2			d5,10																											R	r																
			D5,10																																												
D4,2			d6,10																												R	r															
			D6,10																																												
D2,3			d7,10																													R	r														
			D7,10																																												
D2,2			d8,10																														R	r													
			D8,10																																												
D1,2			d9,10																															R	r												
			D9,10																																												
D2,1			d10,10																																R	r											
			D10,10																																												
D17,1			d11,10																																	R	r										
			D11,10																																												
D3,1			d12,10																																		R	r									
			D12,10																																												
D11,3			d13,10																																			R	r								
			D13,10																																												
D17,1			d14,10																																				R	r							
			D14,10																																												
D19,3			d15,10																																					R	r						
			D15,10																																												
D0,3			d16,10																																						R	r					
			D16,10																																												
D3,1			d17,10																																							R	r				
			D17,10																																												
D4,3			d18,10																																								R	r			
D7,2			D18,10																																									R			
D9,1																																															
D14,3			P13																																												
D14,1			d0,13	P																						r																					
			D0,13																																												
D2,3			d1,13																							R	r																				
			D1,13																																												
D8,2			d2,13	G15																							R	r																			
			D2,13																																												
D3,3			d3,13																									R	r																		
			D3,13																																												
D17,1			d4,13																										R	r																	
			D4,13																																												
D19,1			d5,13																											R	r																
			D5,13																																												
D14,2			d6,13																												R	r															
			D6,13																																												
D12,2			d7,13																													R	r														
			D7,13																																												
D7,1			d8,13																														R	r													
			D8,13																																												
D15,3			d9,13																															R	r												
			D9,13																																												
D19,3			d10,13																																R	r											
			D10,13																																												
D15,1			d11,13																																	R	r										
			D11,13																																												
D12,2			d12,13																																		R	r									
			D12,13																																												
D5,1			d13,13																																			R	r								
			D13,13																																												
D16,3			d14,13																																				R	r							
			D14,13																																												
D12,1			d15,13																																					R	r						
			D15,13																																												
D5,3			d16,13																																						R	r					
			D16,13																																												
D3,1			d17,13																																							R	r				
			D17,13																																												
D5,2			d18,13																																								R	r			
D20,3			D18,13																																									R			
D19,3																																															
D13,3																																															
D2,1																																															
D8,1			P15																																												
D18,2			d0,15	P																						r																					
			D0,15																																												
D14,1			d1,15																							R	r																				
			D1,15																																												
D5,1			d2,15	G16																							R	r																			
			D2,15																																												
D7,2			d3,15																									R	r																		
			D3,15																																												
D3,3			d4,15																										R	r																	
			D4,15																																												
D9,3			d5,15																											R	r																
			D5,15																																												
D9,2			d6,15																												R	r															
			D6,15																																												
D5,3			d7,15																													R	r														
			D7,15																																												
D12,2			d8,15																														R	r													
			D8,15																																												
D11,1			d9,15																															R	r												
			D9,15																																												
D15,2			d10,15																																R	r											
			D10,15																																												
D11,2			d11,15																																	R	r										
			D11,15																																												
D4,2			d12,15																																		R	r									
			D12,15																																												
D11,3			d13,15																																			R	r								
			D13,15																																												
D9,3			d14,15																																				R	r							
			D14,15																																												
D16,1			d15,15																																					R	r						
			D15,15																																												
D0,3			d16,15																																						R	r					
			D16,15																																												
D6,3			d17,15																																							R	r				
			D17,15																																												
D17,1			d18,15																																								R	r			
D18,1	W		D18,15																				B9			B0,7																		R	T18,21		
D7,3																																													t6,21		
D3,2			P16																																												
D12,3			d0,16	P																						r																					
			D0,15																																												
D9,1			d1,15																							R	r																				
			D1,15																																												
D14,1	T18,21		d2,15	G23																							R	r																			
			D2,15																																												
D2,3			d3,15																									R	r																		
			D3,15																																												
D16,2			d4,15																										R	r																	
			D4,15																																												
D6,2			d5,15																											R	r																
			D5,15																																												
D2,1			d6,15																												R	r															
			D6,15																																												
D14,2			d7,15																													R	r														
			D7,15																																												
D5,1			d8,15																														R	r													
			D8,15																																												
D5,1			d9,15																															R	r												
			D9,15																																												
D1,2			d10,15																																R	r											
			D10,15																																												
D19,3			d11,15																																	R	r										
			D11,15																																												
D18,2			d12,15																																		R	r									
			D12,15																																												
D6,2			d13,15																																			R	r								
			D13,15																																												
D4,1			d14,15																																				R	r							
			D14,15																																												
D6,3			d15,15																																					R	r						
			D15,15																																												
D2,2			d16,15																																						R	r					
			D16,15																																												
D16,2			d17,15																																							R	r				
			D17,15																																												
D1,1			d18,15																																								R	r			
D15,1			D18,15																																									R			
			P23																																												
D11,3			d0,23	P																						r																					
			D0,23																																												
D2,3			d1,23																							R	r																				
			D1,23																																												
D7,1			d2,23	G10																							R	r																			
			D2,23																																												
D19,3			d3,23																									R	r																		
			D3,23																																												
D1,1			d4,23																										R	r																	
			D4,23																																												
D18,1			d5,23																											R	r																
			D5,23																																												
D10,3			d6,23																												R	r															
			D6,23																																												
D5,3			d7,23																													R	r														
			D7,23																																												
D8,2			d8,23																														R	r													
			D8,23																																												
D4,2			d9,23																															R	r												
			D9,23																																												
D1,1			d10,23																																R	r											
			D10,23																																												
D1,3			d11,23																																	R	r										
			D11,23																																												
D2,2			d12,23																																		R	r									
			D12,23																																												
D17,2			d13,23																																			R	r								
			D13,23																																												
D19,1			d14,23																																				R	r							
			D14,23																																												
D12,2			d15,23																																					R	r						
			D15,23																																												
D20,1			d16,23																																						R	r					
			D16,23																																												
D8,2			d17,23																																							R	r				
			D17,23																																												
D17,2			d18,23																																								R	r			
D18,3			D18,23																																									R			
D1,3																																															
D20,1			P10																																												
D20,2			d0,10	P																						r																					
			D0,10																																												
D10,1			d1,10																							R	r																				
			D1,10																																												
D4,3			d2,10	G11																							R	r																			
			D2,10																																												
D3,3			d3,10																									R	r																		
			D3,10																																												
D17,3			d4,10																										R	r																	
			D4,10																																												
D4,1			d5,10																											R	r																
			D5,10																																												
D6,1			d6,10																												R	r															
			D6,10																																												
D9,2			d7,10																													R	r														
			D7,10																																												
D2,2			d8,10																														R	r													
			D8,10																																												
D15,2			d9,10																															R	r												
			D9,10																																												
D19,3			d10,10																																R	r											
			D10,10																																												
D19,3			d11,10																																	R	r										
			D11,10																																												
D5,1			d12,10																																		R	r									
			D12,10																																												
D1,2			d13,10																																			R	r								
			D13,10																																												
D17,3			d14,10																																				R	r							
			D14,10																																												
D8,1			d15,10																																					R	r						
			D15,10																																												
D1,3			d16,10																																						R	r					
			D16,10																																												
D0,3			d17,10																																							R	r				
			D17,10																																												
D14,2			d18,10																																								R	r			
D8,2			D18,10																																									R			
D1,2																																															
D20,3			P11																																												
D7,1			d0,11	P																						r																					
			D0,11																																												
D14,1			d1,11																							R	r																				
			D1,11																																												
D11,2			d2,11	G14																							R	r																			
			D2,11																																												
D4,2			d3,11																									R	r																		
			D3,11																																												
D18,3			d4,11																										R	r																	
			D4,11																																												
D9,1			d5,11																											R	r																
			D5,11																																												
D16,3			d6,11																												R	r															
			D6,11																																												
D7,2			d7,11																													R	r														
			D7,11																																												
D8,2			d8,11																														R	r													
			D8,11																																												
D0,2			d9,11																															R	r												
			D9,11																																												
D16,2			d10,11																																R	r											
			D10,11																																												
D2,1			d11,11																																	R	r										
			D11,11																																												
D5,2			d12,11																																		R	r									
			D12,11																																												
D8,1			d13,11																																			R	r								
			D13,11																																												
D18,3			d14,11																																				R	r							
			D14,11																																												
D12,1			d15,11																																					R	r						
			D15,11																																												
D1,1			d16,11																																						R	r					
			D16,11																																												
D5,2			d17,11																																							R	r				
			D17,11																																												
D3,2			d18,11																																								R	r			
D0,2			D18,11																																									R			
			P14																																												
D18,2			d0,14	P																						r																					
			D0,14																																												
D8,3			d1,14																							R	r																				
			D1,14																																												
D11,3			d2,14	G17																							R	r																			
			D2,14																																												
D1,2			d3,14																									R	r																		
			D3,14																																												
D19,3			d4,14																										R	r																	
			D4,14																																												
D1,2			d5,14																											R	r																
			D5,14																																												
D4,3			d6,14																												R	r															
			D6,14																																												
D14,2			d7,14																													R	r														
			D7,14																																												
D3,3			d8,14																														R	r													
			D8,14																																												
D3,1			d9,14																															R	r												
			D9,14																																												
D2,2			d10,14																																R	r											
			D10,14																																												
D15,1			d11,14																																	R	r										
			D11,14																																												
D10,2			d12,14																																		R	r									
			D12,14																																												
D1,3			d13,14																																			R	r								
			D13,14																																												
D17,2			d14,14																																				R	r							
			D14,14																																												
D11,1			d15,14																																					R	r						
			D15,14																																												
D19,1			d16,14																																						R	r					
			D16,14																																												
D12,3			d17,14																																							R	r				
			D17,14																																												
D17,2			d18,14																																								R	r			
D15,1			D18,14																																									R			
			P17																																												
D9,2			d0,17	P																						r																					
			D0,17																																												
D12,1			d1,17																							R	r																				
			D1,17																																												
D4,3			d2,17	G8																							R	r																			
			D2,17																																												
D5,3			d3,17																									R	r																		
			D3,17																																												
D6,1			d4,17																										R	r																	
			D4,17																																												
D7,1			d5,17																											R	r																
			D5,17																																												
D11,2			d6,17																												R	r															
			D6,17																																												
D12,3			d7,17																													R	r														
			D7,17																																												
D1,2			d8,17																														R	r													
			D8,17																																												
D15,2			d9,17																															R	r												
			D9,17																																												
D7,1			d10,17																																R	r											
			D10,17																																												
D16,1			d11,17																																	R	r										
			D11,17																																												
D11,3			d12,17																																		R	r									
			D12,17																																												
D7,1			d13,17																																			R	r								
			D13,17																																												
D1,3			d14,17																																				R	r							
			D14,17																																												
D18,1			d15,17																																					R	r						
			D15,17																																												
D11,2			d16,17																																						R	r					
			D16,17																																												
D7,3			d17,17																																							R	r				
			D17,17																																												
D10,3			d18,17																																								R	r			
D2,1			D18,17																																									R			
D9,2																																															
D12,2																																															
D1,1																																															
D3,1			P8																																												
D19,3			d0,8	P																						r																					
			D0,8																																												
D2,3			d1,8																							R	r																				
			D1,8																																												
D19,1			d2,8	G22																							R	r																			
			D2,8																																												
D6,2			d3,8																									R	r																		
			D3,8																																												
D3,2			d4,8																										R	r																	
			D4,8																																												
D15,3			d5,8																											R	r																
			D5,8																																												
D18,1			d6,8																												R	r															
			D6,8																																												
D8,1			d7,8																													R	r														
			D7,8																																												
D3,3			d8,8																														R	r													
			D8,8																																												
D6,2			d9,8																															R	r												
			D9,8																																												
D10,2			d10,8																																R	r											
			D10,8																																												
D10,3			d11,8																																	R	r										
			D11,8																																												
D1,2			d12,8																																		R	r									
			D12,8																																												
D6,1	W		d13,8																																			R	r						T6,21		
			D13,8																																												
D0,1			d14,8								B8															B1,7													R	r					t16,21		
	W		D14,8																																										T16,21		
D11,2	T6,21		d15,8																		B10					B1,6														R	r						
			D15,8																																												
D19,1			d16,8																																						R	r			t12,21		
	W		D16,8																																										T12,21		
D10,1	T16,21		d17,8														B10																					B0,7				R	r				
			D17,8																																												
D19,3			d18,8																																								R	r	t15,21		
D4,1			D18,8																																									R			
			P22																																												
			d0,22																																												
D12,2			U0,1	P																						r																					
			D0,21																																												
D16,2	T12,21		d1,21																							R	r																				
			D1,21																																												
D9,2			d2,21	G12																							R	r																			
			D2,21																																												
D9,1			d3,21																									R	r																		
			D3,21																																												
D13,2			d4,21																										R	r																	
			D4,21																																												
D9,2			d5,21																											R	r																
			D5,21																																												
D5,1			d6,21																												R	r															
			D6,21																																												
D18,1			d7,21																													R	r														
			D7,21																																												
D14,1			d8,21																														R	r													
			D8,21																																												
D17,2			d9,21																															R	r												
			D9,21																																												
D5,2			d10,21																																R	r											
			D10,21																																												
D9,1			d11,21																																	R	r										
			D11,21																																												
D16,3			d12,21																																		R	r									
			D12,20																																												
D18,2			d13,20																																			R	r								
			D13,20																																												
D18,3			d14,20																																				R	r							
			D14,20																																												
D6,1			d15,20																																					R	r						
			D15,20																																												
D0,2			d16,20																																						R	r					
			D16,20																																												
D15,1			d17,20																																							R	r				
			D17,20																																												
D17,1			d18,20																																								R	r			
D9,3			D18,20																																									R			
D2,3																																															
D2,3			P12																																												
D6,1			d0,12	P																						r																					
			D0,11																																												
D13,2			d1,11																							R	r																				
			D1,11																																												
D13,3			d2,11	G13																							R	r																			
			D2,11																																												
D15,3	W		d3,11																									R	r																T15,21		
			D3,11																																												
D1,2			d4,11																	B9						B3,7			R	r															t13,21		
	W		D4,11																																										T13,21		
D20,1			d5,11															B15								B2,7				R	r														t5,21		
	W		D5,11																																										T5,21		
D16,3			d6,11							B10																B2,6					R	r													t1,5		
			D6,11																																										T1,5		
D4,3	C1,5		d7,11		L																											R	r														
			D7,11																																												
D3,2	T13,21		d8,11																														R	r													
			D8,11																																												
			d9,11																																										t4,21		
D2,3	W		D9,11						B10																	B2,5								R	r										T4,21		
D15,1	T15,21		d10,11																																R	r											
			D10,11																																												
			d11,11																																										t7,5		
D18,1	W		D11,11																																	R	r								T7,5		
D13,2	T5,21		d12,11																																		R	r									
			D12,11																																												
D13,2	T7,21		d13,11																																			R	r								
			D13,11																																												
D13,2	T4,21		d14,11																																				R	r							
			D14,11																																												
			d15,11																																										t11,21		
D14,2	C11,5		D15,11		L																																			R	r				T11,21		
D9,1			d16,11																																						R	r			t10,21		
	W		D16,11																																										T10,21		
D11,2			d17,11												B20											B3,6																R	r		t18,21		
	W		D17,11																																										T18,21		
D8,2			d18,11																				B14			B0,7																	R	r	t6,21		
D12,2	T18,21		D18,11																																									R			
D4,1			P13																																												
			d0,13																																												
D15,3			U0,4	P																						r																					
			D0,11																																												
D7,3			d1,11																							R	r																				
			D1,11												B4											B3,6																					
D1,3	T10,21		d2,11	G17																							R	r																			
			D2,11																																												
D3,1			d3,11																									R	r																		
			D3,11																																												
D18,3			d4,11																										R	r																	
			D4,11																																												
D2,1			d5,11																											R	r																
			D5,11																																												
D3,1			d6,11																												R	r															
			D6,11																																												
D16,1			d7,11																													R	r														
			D7,11																																												
D7,2			d8,11																														R	r													
			D8,11																																												
D7,3			d9,11																															R	r												
			D9,11																																												
D6,1			d10,11																																R	r											
			D10,11																																												
D3,3			d11,11																																	R	r										
			D11,11																																												
D8,1			d12,11																																		R	r									
			D12,11																																												
D17,2			d13,11																																			R	r								
			D13,11																																												
D20,3			d14,11																																				R	r							
			D14,11																																												
D9,3			d15,11																																					R	r						
			D15,11																																												
D16,1			d16,11																																						R	r					
			D16,11																																												
D12,2			d17,11																																							R	r				
			D17,11																																												
D11,1			d18,11																																								R	r			
D8,1			D18,11																																									R			
			P17																																												
			d0,17																																												
D19,3			U0,1	P																						r																					
			D0,13																																												
D13,2			d1,13																							R	r																				
			D1,13																																												
D8,3			d2,13	G19																							R	r																			
			D2,13																																												
D10,3			d3,13																									R	r																		
			D3,13																																												
D19,1			d4,13																										R	r																	
			D4,13																																												
D1,2			d5,13																											R	r																
			D5,13																																												
D7,1			d6,13																												R	r															
			D6,13																																												
D13,1			d7,13																													R	r														
			D7,13																																												
D0,2			d8,13																														R	r													
			D8,13																																												
D6,2			d9,13																															R	r												
			D9,13																																												
D4,2			d10,13																																R	r											
			D10,13																																												
D6,1			d11,13																																	R	r										
			D11,13																																												
D18,1			d12,13																																		R	r									
			D12,13																																												
D7,3			d13,13																																			R	r								
			D13,13																																												
D3,3			d14,13																																				R	r							
			D14,13																																												
D10,1			d15,13																																					R	r						
			D15,13																																												
D20,3	W		d16,13																																						R	r				T20,21	
			D16,13																																												
D7,1			d17,13																						B6		B2,7															R	r			t16,21	
	W		D17,13																																											T16,21	
D16,3			d18,13																		B15					B1,7																	R	r		t12,21	
D0,3	T20,21		D18,13																																									R			
			P19																																												
D9,1			d0,19	P																						r																					
			D0,17																																												
D9,2			d1,17																							R	r																				
			D1,16																																												
D18,2	T16,21		d2,16	G14																							R	r																			
			D2,16																																												
D12,1	W		d3,16																									R	r																	T12,21	
			D3,16																																												
D20,3			d4,16														B15												R	r								B0,7								t1,5	
	W		D4,16																																											T1,5	
D8,3	T1,21		d5,16																											R	r																
			D5,16																																												
D7,2			d6,16																												R	r														t13,21	
			D6,16																																												
D7,1			d7,16																													R	r														
			D7,16																																												
D5,1	T12,21		d8,16																														R	r													
			D8,16																																												
D20,2			d9,16																															R	r												
			D9,16																																												
D5,2			d10,16																																R	r											
			D10,16																																												
D19,1			d11,16																																	R	r										
			D11,16																																												
D2,3			d12,16																																		R	r									
			D12,15																																												
D1,2			d13,15																																			R	r								
			D13,15																																												
D4,2			d14,15																																				R	r							
			D14,15																																												
D3,1			d15,15																																					R	r						
			D15,15																																												
D10,2			d16,15																																						R	r					
			D16,15																																												
D13,3			d17,15																																							R	r				
			D17,15																																												
D5,1			d18,15																																								R	r			
D7,3			D18,15																																									R			
D13,2																																															
D19,1																																															
D13,2																																															
D20,2			P14																																												
D10,2			d0,14	P																						r																					
			D0,14																																												
D1,2			d1,14																							R	r																				
			D1,14																																												
D16,1			d2,14	G8																							R	r																			
			D2,14																																												
D5,3			d3,14																									R	r																		
			D3,14																																												
D9,2			d4,14																										R	r																	
			D4,14																																												
D9,3			d5,14																											R	r																
			D5,14																																												
D15,1			d6,14																												R	r															
			D6,14																																												
D13,1			d7,14																													R	r														
			D7,14																																												
D1,2	W		d8,14															B20								B2,7							R	r												T13,21	
			D8,14																																												
D5,1			d9,14																															R	r											t15,21	
			D9,14																																												
D16,3			d10,14															B4								B2,6									R	r											
			D10,14																																												
D4,3			d11,14																																	R	r										
			D11,14																																												
D18,3			d12,14																																		R	r									
			D12,14																																												
D16,3			d13,14																																			R	r								
			D13,14																																												
D11,1			d14,14																																				R	r							
			D14,14																																												
D4,1	T13,21		d15,14																																					R	r						
			D15,14																																												
D2,2			d16,14																																						R	r					
			D16,14																																												
D16,2			d17,14																																							R	r				
			D17,14																																												
D17,1			d18,14																																								R	r			
D4,1			D18,14																																									R			
			P8																																												
			d0,8																																												
D1,1			U0,1	P																						r																					
			D0,7																																												
D1,2			d1,7																							R	r																				
			D1,7																																												
D20,3			d2,7	G8																							R	r																			
			D2,7																																												
D15,2			d3,7																									R	r																		
			D3,7																																												
D19,1			d4,7																										R	r																	
			D4,7																																												
D3,1			d5,7																											R	r																
			D5,7																																												
D20,3			d6,7																												R	r															
			D6,7																																												
D8,2			d7,7																													R	r														
			D7,7																																												
D4,1			d8,7																														R	r													
			D8,7																																												
D9,1			d9,7																															R	r												
			D9,7																																												
D11,3			d10,7																																R	r											
			D10,7																																												
D8,3			d11,7																																	R	r										
			D11,7																																												
D18,3			d12,7																																		R	r									
			D12,7																																												
D18,2			d13,7																																			R	r								
			D13,7																																												
D8,3			d14,7																																				R	r							
			D14,7																																												
D18,3			d15,7																																					R	r						
			D15,7																																												
D20,2			d16,7																																						R	r					
			D16,7																																												
D16,1			d17,7																																							R	r				
			D17,7																																												
D3,3			d18,7																																								R	r			
D20,1			D18,7																																									R			
			P8																																												
D5,3			d0,8	P																						r																					
			D0,7																																												
D14,1			d1,7																							R	r																				
			D1,7																																												
D10,3			d2,7	G22																							R	r																			
			D2,7																																												
D7,2			d3,7																									R	r																		
			D3,7																																												
D10,3			d4,7																										R	r																	
			D4,7																																												
D14,1			d5,7																											R	r																
			D5,7																																												
D11,2			d6,7																												R	r															
			D6,7																																												
D6,2			d7,7																													R	r														
			D7,7																																												
D8,3			d8,7																														R	r													
			D8,7																																												
D8,2			d9,7																															R	r												
			D9,7																																												
D1,3			d10,7																																R	r											
			D10,7																																												
D15,1			d11,7																																	R	r										
			D11,7																																												
D7,3			d12,7																																		R	r									
			D12,7																																												
D1,2			d13,7																																			R	r								
			D13,7																																												
D9,3			d14,7																																				R	r							
			D14,7																																												
D19,3			d15,7																																					R	r						
			D15,7																																												
D12,3			d16,7																																						R	r					
			D16,7																																												
D7,2			d17,7																																							R	r				
			D17,7																																												
D8,1			d18,7																																								R	r			
D19,3			D18,7																																									R			
D9,3																																															
D19,3																																															
D1,2																																															
D7,2			P22																																												
D15,1			d0,22	P																						r																					
			D0,22																																												
D3,1			d1,22																							R	r																				
			D1,22																																												
D10,3			d2,22	G21																							R	r																			
			D2,22																																												
D15,1			d3,22																									R	r																		
			D3,22																																												
D15,1			d4,22																										R	r																	
			D4,22																																												
D16,2			d5,22																											R	r																
			D5,22																																												
D11,1			d6,22																												R	r															
			D6,22																																												
D9,3			d7,22																													R	r														
			D7,22																																												
D13,3			d8,22																														R	r													
			D8,22																																												
D13,2			d9,22																															R	r												
			D9,22																																												
D0,1			d10,22																																R	r											
			D10,22																																												
D19,3			d11,22																																	R	r										
			D11,22																																												
D16,1			d12,22																																		R	r									
			D12,22																																												
D1,3			d13,22																																			R	r								
			D13,22																																												
D1,3			d14,22																																				R	r							
			D14,22																																												
D5,2			d15,22																																					R	r						
			D15,22																																												
D14,2			d16,22																																						R	r					
			D16,22																																												
D19,1			d17,22																																							R	r				
			D17,22																																												
D4,3			d18,22																																								R	r			
D20,1			D18,22																																									R			
D2,2			P21																																												
D3,3			d0,21	P																						r																					
			D0,21																																												
D5,3			d1,21																							R	r																				
			D1,21																																												
D7,1			d2,21	G19																							R	r																			
			D2,21																																												
D5,1			d3,21																									R	r																		
			D3,21																																												
D1,1			d4,21																										R	r																	
			D4,21																																												
D7,1			d5,21																											R	r																
			D5,21																																												
D8,2			d6,21																												R	r															
			D6,21																																												
D15,1			d7,21																													R	r														
			D7,21																																												
D3,3			d8,21																														R	r													
			D8,21																																												
D18,2			d9,21																															R	r												
			D9,21																																												
D6,3			d10,21																																R	r											
			D10,21																																												
D12,1			d11,21																																	R	r										
			D11,21																																												
D0,3			d12,21																																		R	r									
			D12,21																																												
D20,1			d13,21																																			R	r								
			D13,21																																												
D8,3			d14,21																																				R	r							
			D14,21																																												
D9,3			d15,21																																					R	r						
			D15,21																																												
