Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D2,2		N8,17	d1,5										V17													R	r																				
			D1,5																																												
D4,2		N11,0	d2,5	G15												V0											R	r																			
			D2,5																																												
D0,1		N10,18	d3,5												V18													R	r																		
			D3,5																																												
D2,3		N9,0	d4,5											V0															R	r																	
			D4,5																																												
			d5,5																																												
	T9,21	N8,18	U5,3										V18																																	T2,21	
D8,1	W	N8,0	D5,3				B10						V0															B1,7		R	r																
			d6,3																																												
D11,2	T11,21		U6,13																												R	r															
			D6,2																																												
			d7,2																																												
			U7,16																																											t3,5	
D11,2	W	N10,0	D7,2												V0																	R	r													T3,5	
			d8,2																																												
D19,3	T8,21		U8,18																														R	r													
D20,1	T3,21		D8,0																															R												t12,5	
D9,2	T10,21				L																																									T12,5	
D3,3	C12,5																																														
D19,1																																														t17,5	
	W		P15																																											T17,5	
D14,2		N17,18	d0,15	P																		V18				r																				t19,21	
	W	N17,0	D0,15																			V0																								T19,21	
D7,1			d1,15																							R	r																			t20,21	
			D1,15																					B10		B1,7																					
D20,3	T19,21		d2,15	G6																							R	r																			
			D2,14																																												
D18,2			d3,14																									R	r																		
			D3,14																																												
D11,3			d4,14																										R	r																	
			D4,14																																												
D12,3	T17,21		d5,14																											R	r																
			D5,11																																												
			d6,11																																												
D2,3			U6,7																												R	r															
			D6,5																																												
			d7,5																																												
D9,1			U7,16																													R	r														
			D7,5																																												
			d8,5																																												
D18,2			U8,16																														R	r													
			D8,3																																												
			d9,3																																												
D2,3			U9,28																															R	r												
D20,1			D9,0																																R												
D18,3																																															
D14,2			P6																																												
D2,1			d0,6	P																						r																					
			D0,5																																												
D8,2			d1,5																							R	r																				
			D1,5																																												
D19,2			d2,5	G19																							R	r																			
			D2,5																																												
D6,3			d3,5																									R	r																		
			D3,5																																												
D5,1			d4,5																										R	r																	
			D4,5																																												
D14,3			d5,5																											R	r																
			D5,5																																												
			d6,5																																												
D10,3			U6,2																												R	r															
D10,3			D6,0																													R															
D4,2			P19																																												
D3,1			d0,19	P																						r																					
			D0,19																																												
D10,1			d1,19																							R	r																				
			D1,19																																												
D7,1			d2,19	G14																							R	r																			
			D2,19																																												
D7,3			d3,19																									R	r																		
			D3,19																																												
D0,3			d4,19																										R	r																	
			D4,19																																												
D8,1			d5,19																											R	r																
			D5,19																																												
D6,3			d6,19																												R	r															
			D6,17																																												
			d7,17																																												
D16,3			U7,10																													R	r														
			D7,11																																												
			d8,11																																												
D6,2			U8,16																														R	r													
			D8,11																																												
			d9,11																																												
D1,1			U9,18																															R	r												
			D9,1																																												
			d10,1																																												
D14,2			U10,31																																R	r											
D2,3			D10,0																																	R											
			P14																																												
D11,1			d0,14	P																						r																					
			D0,14																																												
D8,2			d1,14																							R	r																				
			D1,14																																												
D20,1			d2,14	G18																							R	r																			
			D2,14																																												
D17,2			d3,14																									R	r																		
			D3,14																																												
D13,3			d4,14																										R	r																	
			D4,14																																												
D2,2			d5,14																											R	r																
			D5,14																																												
D17,1			d6,14																												R	r															
			D6,14																																												
			d7,14																																												
D17,3			U7,6																													R	r														
			D7,10																																												
			d8,10																																												
D7,2			U8,16																														R	r													
			D8,10																																												
			d9,10																																												
D3,1			U9,16																															R	r												
			D9,8																																												
			d10,8																																												
D3,1			U10,23																																R	r											
D8,2			D10,0																																	R											
D3,3			P18																																												
D13,1			d0,18	P																						r																					
			D0,18																																												
D19,3			d1,18																							R	r																				
			D1,18																																												
D16,2			d2,18	G17																							R	r																			
			D2,18																																												
D7,1			d3,18																									R	r																		
			D3,18																																												
D0,1			d4,18																										R	r																	
			D4,18																																												
D20,3			d5,18																											R	r																
			D5,18																																												
D15,1			d6,18																												R	r															
			D6,18																																												
			d7,18																																												
D7,1			U7,3																													R	r														
			D7,15																																												
			d8,15																																												
D14,1			U8,16																														R	r													
			D8,15																																												
			d9,15																																												
D13,1			U9,16																															R	r												
			D9,15																																												
			d10,15																																												
D10,2			U10,16																																R	r											
			D10,8																																												
			d11,8																																												
D4,2			U11,24																																	R	r										
D7,1			D11,0																																		R										
			P17																																												
D20,3	W		d0,17	P																						r																				T20,21	
			D0,17																																												
D13,1			d1,17																							R	r																			t1,21	
			D1,17																																												
D17,1			d2,17	G16																							R	r																			
			D2,17																						B10		B2,7																				
D18,3			d3,17																									R	r																		
			D3,17																																												
D4,1			d4,17																										R	r																	
			D4,17																																												
D18,3			d5,17																											R	r																
			D5,17																																												
D11,2			d6,17																												R	r															
			D6,17																																												
D7,3	T20,21		d7,17																													R	r														
			D7,14																																												
			d8,14																																												
D20,3			U8,9																														R	r													
			D8,7																																												
			d9,7																																												
D7,2			U9,16																															R	r												
			D9,7																																												
			d10,7																																												
D12,1			U10,16																																R	r											
			D10,7																																												
			d11,7																																												
D14,3			U11,19																																	R	r										
			D11,2																																												
			d12,2																																												
D7,2			U12,30																																		R	r									
D10,1			D12,0																																			R									
			P16																																												
D8,1			d0,16	P																						r																					
			D0,16																																												
			d1,16																																												
D13,3			U1,1																							R	r																				
			D1,16																																												
D14,2			d2,16	G12																							R	r																			
			D2,16																																												
D2,3			d3,16																									R	r																		
			D3,16																																												
D20,3			d4,16																										R	r																	
			D4,16																																												
D20,1			d5,16																											R	r																
			D5,16																																												
